make,model,wh_km,capacity_kwh
VOLKSWAGEN,ID. BUZZ PRO,223,77.00
MERCEDES,EQS SUV 580 4MATIC,224,108.40
OPEL,COMBO-E LIFE 50 KWH,226,46.30
CITROEN,E-BERLINGO M 50 KWH,226,46.30
CITROEN,E-BERLINGO XL 50 KWH,226,46.30
PEUGEOT,E-RIFTER STANDARD 50 KWH,226,46.30
TOYOTA,PROACE CITY VERSO ELECTRIC L2 50 KWH,226,46.30
KIA,EV9 99.8 KWH AWD,226,96.00
LOTUS,ELETRE S,227,109.00
POLESTAR,3 LONG RANGE PERFORMANCE,228,107.00
VOLVO,EX90 TWIN MOTOR,230,107.00
MAXUS,MIFA 9,230,84.00
KIA,EV9 99.8 KWH AWD GT-LINE,231,96.00
OPEL,COMBO-E LIFE XL 50 KWH,232,46.30
PEUGEOT,E-RIFTER LONG 50 KWH,232,46.30
AUDI,SQ8 E-TRON,233,106.00
MASERATI,GRECALE FOLGORE,235,95.00
VINFAST,VF 9 EXTENDED RANGE,237,123.00
VOLVO,EX90 TWIN MOTOR PERFORMANCE,238,107.00
HONGQI,E-HS9 84 KWH,239,76.50
LOTUS,ELETRE R,240,109.00
BYD,TANG,240,86.40
HONGQI,E-HS9 99 KWH,243,90.00
HONGQI,E-HS9 120 KWH,243,112.00
CITROEN,E-JUMPY COMBI M 50 KWH,250,46.30
CITROEN,E-SPACETOURER M 50 KWH,250,46.30
OPEL,VIVARO-E COMBI M 50 KWH,250,46.30
OPEL,ZAFIRA-E LIFE M 50 KWH,250,46.30
PEUGEOT,E-EXPERT COMBI STANDARD 50 KWH,250,46.30
PEUGEOT,E-EXPERT COMBI LONG 50 KWH,250,46.30
PEUGEOT,E-TRAVELLER STANDARD 50 KWH,250,46.30
PEUGEOT,E-TRAVELLER LONG 50 KWH,250,46.30
FIAT,E-ULYSSE L2 50 KWH,250,46.30
CITROEN,E-JUMPY COMBI M 75 KWH,257,68.00
CITROEN,E-SPACETOURER M 75 KWH,257,68.00
OPEL,VIVARO-E COMBI M 75 KWH,257,68.00
OPEL,ZAFIRA-E LIFE M 75 KWH,257,68.00
PEUGEOT,E-EXPERT COMBI STANDARD 75 KWH,257,68.00
PEUGEOT,E-TRAVELLER STANDARD 75 KWH,257,68.00
FIAT,E-ULYSSE L2 75 KWH,257,68.00
TOYOTA,PROACE VERSO M 75 KWH,257,68.00
CITROEN,E-JUMPY COMBI XL 50 KWH,257,46.30
CITROEN,E-SPACETOURER XL 50 KWH,257,46.30
OPEL,VIVARO-E COMBI L 50 KWH,257,46.30
OPEL,ZAFIRA-E LIFE L 50 KWH,257,46.30
FIAT,E-ULYSSE L3 50 KWH,257,46.30
CITROEN,E-JUMPY COMBI XL 75 KWH,262,68.00
CITROEN,E-SPACETOURER XL 75 KWH,262,68.00
OPEL,VIVARO-E COMBI L 75 KWH,262,68.00
OPEL,ZAFIRA-E LIFE L 75 KWH,262,68.00
PEUGEOT,E-EXPERT COMBI LONG 75 KWH,262,68.00
PEUGEOT,E-TRAVELLER LONG 75 KWH,262,68.00
FIAT,E-ULYSSE L3 75 KWH,262,68.00
TOYOTA,PROACE VERSO L 75 KWH,262,68.00
MERCEDES,EQV 250 LONG,286,60.00
MERCEDES,EQV 250 EXTRA-LONG,286,60.00
MERCEDES,EVITO TOURER LONG 60 KWH,286,60.00
MERCEDES,EQV 300 EXTRA-LONG,290,90.00
MERCEDES,EVITO TOURER LONG 90 KWH,290,90.00
MERCEDES,EQV 300 LONG,290,90.00
MERCEDES,EVITO TOURER EXTRA-LONG 60 KWH,293,60.00
MERCEDES,EVITO TOURER EXTRA-LONG 90 KWH,295,90.00
